Creature Name,Creature ID
Dunkleosteus,Dunkle_Character_BP_C
Electrophorus,Eel_Character_BP_C
Equus,Equus_Character_BP_C
Unicorn,Equus_Character_BP_Unicorn_C
Eurypterid,Euryp_Character_C
Gallimimus,Galli_Character_BP_C
Giant Bee,Bee_Character_BP_C
Giganotosaurus,Gigant_Character_BP_C
Gigantopithecus,Bigfoot_Character_BP_C
Griffin,Griffin_Character_BP_C
Hesperornis,Hesperornis_Character_BP_C
Human (Male),PlayerPawnTest_Male_C
Human (Female),PlayerPawnTest_Female_C
Hyaenodon,Hyaenodon_Character_BP_C
Ichthyornis,Ichthyornis_Character_BP_C
Ichthyosaurus,Dolphin_Character_BP_C
Iguanodon,Iguanodon_Character_BP_C
Jerboa,Jerboa_Character_BP_C
Skeletal Jerboa,Bone_Jerboa_Character_BP_C
Jug Bug,Jugbug_Character_BaseBP_C
Oil Jug Bug,Jugbug_Oil_Character_BP_C
Water Jug Bug,Jugbug_Water_Character_BP_C
Kairuku,Kairuku_Character_BP_C
Kaprosuchus,Kaprosuchus_Character_BP_C
Kentrosaurus,Kentro_Character_BP_C
Leech,Leech_Character_C
Diseased Leech,Leech_Character_Diseased_C
Leedsichthys,Leedsichthys_Character_BP_C
Liopleurodon,Liopleurodon_Character_BP_C
Lymantria,Moth_Character_BP_C
Lystrosaurus,Lystro_Character_BP_C
Mammoth,Mammoth_Character_BP_C
Manta,Manta_Character_BP_C
Manticore,Manticore_Character_BP_C
Mantis,Mantis_Character_BP_C
Megalania,Megalania_Character_BP_C
Megaloceros,Stag_Character_BP_C
Megalodon,Megalodon_Character_BP_C
Megalosaurus,Megalosaurus_Character_BP_C
Meganeura,Dragonfly_Character_BP_C
Megapithecus,Gorilla_Character_BP_C
Megatherium,Megatherium_Character_BP_C
Mesopithecus,Monkey_Character_BP_C
Microraptor,Microraptor_Character_BP_C
Morellatops,camelsaurus_Character_BP_C
Mosasaurus,Mosa_Character_BP_C
Moschops,Moschops_Character_BP_C
Onychonycteris,Bat_Character_BP_C
Otter,Otter_Character_BP_C
Oviraptor,Oviraptor_Character_BP_C
Ovis,Sheep_Character_BP_C
Pachy,Pachy_Character_BP_C
Pachyrhinosaurus,Pachyrhino_Character_BP_C
Paraceratherium,Paracer_Character_BP_C
Parasaurolophus,Para_Character_BP_C
Pegomastax,Pegomastax_Character_BP_C
Pelagornis,Pela_Character_BP_C
Phiomia,Phiomia_Character_BP_C
Phoenix,Phoenix_Character_BP_C
Piranha,Piranha_Character_BP_C
Plesiosaur,Plesiosaur_Character_BP_C
Procoptodon,Procoptodon_Character_BP_C
Pteranodon,Ptero_Character_BP_C
Pulmonoscorpius,Scorpion_Character_BP_C
Purlovia,Purlovia_Character_BP_C
Quetzalcoatlus,Quetz_Character_BP_C
Raptor,Raptor_Character_BP_C
Rex,Rex_Character_BP_C
Rock Elemental,RockGolem_Character_BP_C
Rubble Golem,RubbleGolem_Character_BP_C
Sabertooth,Saber_Character_BP_C
Sabertooth Salmon,Salmon_Character_BP_C
Sarco,Sarco_Character_BP_C
Skeletal Bronto,Bone_Sauropod_Character_BP_C
Skeletal Giganotosaurus,Bone_Gigant_Character_BP_C
Skeletal Quetzal,Bone_Quetz_Character_BP_C
Skeletal Raptor,Bone_MegaRaptor_Character_BP_C
Skeletal Rex,Bone_MegaRex_Character_BP_C
Spino,Spino_Character_BP_C
Stegosaurus,Stego_Character_BP_C
Tapejara,Tapejara_Character_BP_C
Terror Bird,TerrorBird_Character_BP_C
Therizinosaur,Therizino_Character_BP_C
Thorny Dragon,SpineyLizard_Character_BP_C
Thylacoleo,Thylacoleo_Character_BP_C
Titanoboa,BoaFrill_Character_BP_C
Titanomyrma,Ant_Character_BP_C
Flying Titanomyrma,FlyingAnt_Character_BP_C
Titanosaur,Titanosaur_Character_BP_C
Triceratops,Trike_Character_BP_C
Stryder,TekStrider_Character_BP_C
Noglin,BrainSlug_Character_BP_C
Astrodelphis,SpaceDolphin_Character_BP_C
Shadowmane,LionFishLion_Character_BP_C
Tek Wyvern,TekWyvern_Character_BP_C
Maewing,MilkGlider_character_BP_C
Summoner,Summoner_Character_BP_C
Macrophage,Macrophage_Swarm_Character_C
Exo-Mek,Exosuit_Character_BP_C
Rockwell Allosaurus,Allo_Character_BP_Rockwell_C
Rockwell Carno,Carno_Character_BP_Rockwell_C
Rockwell Dilo,Dilo_Character_BP_Rockwell_C
Rockwell Reaper Male,Xenomorph_Character_BP_Male_Gen2_C
Rockwell Reaper Female,Xenomorph_Character_BP_Female_Gen2_C
Rockwell Bronto,Sauropod_Character_BP_Rockwell_C
Rockwell Velonasaur,Spindles_Character_BP_Rockwell_C
Rockwell Turtle,Turtle_Character_BP_Rockwell_C
Rockwell Giga,Gigant_Character_BP_Rockwell_C
Rockwell Quetzal,Quetz_Character_BP_Rockwell_C
Eden Daeodon,Daeodon_Character_BP_Eden_C
Eden Direwolf,Direwolf_Character_BP_Eden_C
Eden Equus,Equus_Character_BP_Eden_C
Eden Gasbag,GasBags_Character_BP_Eden_C
Eden Megatherium,Megatherium_Character_BP_Eden_C
Eden Owl,Owl_Character_BP_Eden_C
Eden Parasaur,Para_Character_BP_Eden_C
Eden Procoptodon,Procoptodon_Character_BP_Eden_C
Eden Thylacoleo,Thylacoleo_Character_BP_Eden_C
Trilobite,Trilobite_Character_C
Troodon,Troodon_Character_BP_C
Turkey,TurkeyBase_Character_BP_C
Super Turkey,Turkey_Character_BP_C
Tusoteuthis,Tusoteuthis_Character_BP_C
Vulture,Vulture_Character_BP_C
Wyvern,Wyvern_Character_BP_Base_C
Fire Wyvern,Wyvern_Character_BP_Fire_C
Lightning Wyvern,Wyvern_Character_BP_Lightning_C
Poison Wyvern,Wyvern_Character_BP_Poison_C
Ice Wyvern,Ragnarok_Wyvern_Override_Ice_C
Bone Fire Wyvern,Bone_MegaWyvern_Character_BP_Fire_C
Zombie Fire Wyvern,Wyvern_Character_BP_ZombieFire_C
Zombie Lightning Wyvern,Wyvern_Character_BP_ZombieLightning_C
Zombie Poison Wyvern,Wyvern_Character_BP_ZombiePoison_C
Woolly Rhino,Rhino_Character_BP_C
Yeti,Yeti_Character_BP_C
Yutyrannus,Yutyrannus_Character_BP_C
Zomdodo,ZombieDodo_Character_BP_C
Aberrant Coelacanth,Coel_Character_BP_Aberrant_C
Aberrant Achatina,Achatina_Character_BP_Aberrant_C
Aberrant Anglerfish,Angler_Character_BP_Aberrant_C
Aberrant Ankylosaurus,Ankylo_Character_BP_Aberrant_C
Aberrant Araneo,SpiderS_Character_BP_Aberrant_C
Aberrant Arthropluera,Arthro_Character_BP_Aberrant_C
Aberrant Baryonyx,Baryonyx_Character_BP_Aberrant_C
Aberrant Beelzebufo,Toad_Character_BP_Aberrant_C
Aberrant Carbonemys,Turtle_Character_BP_Aberrant_C
Aberrant Carnotaurus,Carno_Character_BP_Aberrant_C
Aberrant Cnidaria,Cnidaria_Character_BP_Aberrant_C
Aberrant Dimetrodon,Dimetro_Character_BP_Aberrant_C
Aberrant Dimorphodon,Dimorph_Character_BP_Aberrant_C
Aberrant Diplocaulus,Diplocaulus_Character_BP_Aberrant_C
Aberrant Diplodocus,Diplodocus_Character_BP_Aberrant_C
Aberrant Dodo,Dodo_Character_BP_Aberrant_C
Aberrant Doedicurus,Doed_Character_BP_Aberrant_C
Aberrant Dung Beetle,DungBeetle_Character_BP_Aberrant_C
Aberrant Electrophorus,Eel_Character_BP_Aberrant_C
Aberrant Equus,Equus_Character_BP_Aberrant_C
Aberrant Iguanodon,Iguanodon_Character_BP_Aberrant_C
Aberrant Lystrosaurus,Lystro_Character_BP_Aberrant_C
Aberrant Manta,Manta_Character_BP_Aberrant_C
Aberrant Megalania,Megalania_Character_BP_Aberrant_C
Aberrant Megalosaurus,Megalosaurus_Character_BP_Aberrant_C
Aberrant Meganeura,Dragonfly_Character_BP_Aberrant_C
Aberrant Moschops,Moschops_Character_BP_Aberrant_C
Aberrant Otter,Otter_Character_BP_Aberrant_C
Aberrant Ovis,Sheep_Character_BP_Aberrant_C
Aberrant Paraceratherium,Paracer_Character_BP_Aberrant_C
Aberrant Parasaur,Para_Character_BP_Aberrant_C
Aberrant Piranha,Piranha_Character_BP_Aberrant_C
Aberrant Pulmonoscorpius,Scorpion_Character_BP_Aberrant_C
Aberrant Purlovia,Purlovia_Character_BP_Aberrant_C
Aberrant Raptor,Raptor_Character_BP_Aberrant_C
Aberrant Salmon,Salmon_Character_Aberrant_C
Aberrant Sarco,Sarco_Character_BP_Aberrant_C
Aberrant Spino,Spino_Character_BP_Aberrant_C
Aberrant Stegosaurus,Stego_Character_BP_Aberrant_C
Aberrant Titanoboa,BoaFrill_Character_BP_Aberrant_C
Aberrant Triceratops,Trike_Character_BP_Aberrant_C
Aberrant Trilobite,Trilobite_Character_Aberrant_C
Alpha Basilisk,MegaBasilisk_Character_BP_C
Alpha Karkinos,MegaCrab_Character_BP_C
Basilisk,Basilisk_Character_BP_C
Bulbdog,LanternPug_Character_BP_C
Featherlight,LanternBird_Character_BP_C
Glowbug,Lightbug_Character_BaseBP_C
Glowtail,LanternLizard_Character_BP_C
Karkinos,Crab_Character_BP_C
Lamprey,Lamprey_Character_C
Nameless,ChupaCabra_Character_BP_C
Nameless Queen,Xenomorph_Character_BP_C
Ravager,CaveWolf_Character_BP_C
Reaper King,Xenomorph_Character_BP_Male_C
Reaper King (Tamed),Xenomorph_Character_BP_Male_Tamed_C
Reaper Queen,Xenomorph_Character_BP_Female_C
Rock Drake,RockDrake_Character_BP_C
Rockwell,Rockwell_Character_BP_C
Rockwell (Alpha),Rockwell_Character_BP_Hard_C
Rockwell (Beta),Rockwell_Character_BP_Medium_C
Rockwell (Gamma),Rockwell_Character_BP_Easy_C
Rockwell Tentacle,RockwellTentacle_Character_BP_C
Rockwell Tentacle (Alpha),RockwellTentacle_Character_BP_Alpha_C
Rockwell Tentacle (Beta),RockwellTentacle_Character_BP_Beta_C
Rockwell Tentacle (Gamma),RockwellTentacle_Character_BP_Gamma_C
Roll Rat,MoleRat_Character_BP_C
Seeker,Pteroteuthis_Char_BP_C
Shinehorn,LanternGoat_Character_BP_C
Tek Raptor,BionicRaptor_Character_BP_C
Tek Quetzal,BionicQuetz_Character_BP_C
Tek Rex,BionicRex_Character_BP_C
Tek Stego,BionicStego_Character_BP_C
Tek Parasaur,BionicPara_Character_BP_C
Aberrant Direbear,Direbear_Character_BP_Aberrant_C
Aberrant Gigantopithecus,Bigfoot_Character_BP_Aberrant_C
Alpha Surface Reaper King,MegaXenomorph_Character_BP_Male_Surface_C
Overseer,EndBoss_Character_C
Overseer Gamma,EndBoss_Character_Easy_C
Overseer Beta,EndBoss_Character_Medium_C
Overseer Alpha,EndBoss_Character_Hard_C
Broodmother Guardian,EndBossSpiderL_Character_BP_C
Broodmother Lysrix Gamma,EndBossSpiderL_Character_BP_Easy_C
Broodmother Lysrix Beta,EndBossSpiderL_Character_BP_Medium_C
Broodmother Lysrix Alpha,EndBossSpiderL_Character_BP_Hard_C
Dragon Guardian,EndBossDragon_Character_BP_C
Dragon Gamma,EndBossDragon_Character_BP_Easy_C
Dragon Beta,EndBossDragon_Character_BP_Medium_C
Dragon Alpha,EndBossDragon_Character_BP_Hard_C
Megapithecus Guardian,EndBossGorilla_Character_BP_C
Megapithecus Gamma,EndBossGorilla_Character_BP_Easy_C
Megapithecus Beta,EndBossGorilla_Character_BP_Medium_C
Megapithecus Alpha,EndBossGorilla_Character_BP_Hard_C
Snow Owl,Owl_Character_BP_C
Managarmr,IceJumper_Character_BP_C
Ice Titan,IceKaiju_Character_BP_C
Mek,Mek_Character_BP_C
Gasbags,GasBags_Character_BP_C
Velonasaur,Spindles_Character_BP_C
Gacha,Gacha_Character_BP_C
Desert Titan,DesertKaiju_Character_BP_C
Scout,Scout_Character_BP_C
Defense Unit,Defender_Character_BP_C
Enforcer,Enforcer_Character_BP_C
Forest Wyvern,Wyvern_Character_BP_Fire_Minion_C
Forest Titan,ForestKaiju_Character_BP_C
Alpha King Titan,KingKaiju_Character_BP_Alpha_C
Beta King Titan,KingKaiju_Character_BP_Beta_C
Corrupt Tumor,CorruptTumor_Character_BP_C
Corrupted Arthropluera,Arthro_Character_BP_Corrupt_C
Corrupted Carnotaurus,Carno_Character_BP_Corrupt_C
Corrupted Chalicotherium,Chalico_Character_BP_Corrupt_C
Corrupted Dilophosaur,Dilo_Character_BP_Corrupt_C
Corrupted Dimorphodon,Dimorph_Character_BP_Corrupt_C
Corrupted Giganotosaurus,Gigant_Character_BP_Corrupt_C
Corrupted Paraceratherium,Paracer_Character_BP_Corrupt_C
Corrupted Pteranodon,Ptero_Character_BP_Corrupt_C
Corrupted Raptor,Raptor_Character_BP_Corrupt_C
Corrupted Reaper King,Xenomorph_Character_BP_Male_Tamed_Corrupt_C
Corrupted Rex,Rex_Character_BP_Corrupt_C
Corrupted Rock Drake,RockDrake_Character_BP_Corrupt_C
Corrupted Spino,Spino_Character_BP_Corrupt_C
Corrupted Stegosaurus,Stego_Character_BP_Corrupt_C
Corrupted Triceratops,Trike_Character_BP_Corrupt_C
Corrupted Wyvern,Wyvern_Character_BP_Fire_Corrupt_C
Desert Titan Flock,DesertKaiju_FirstFlockChar_BP_C
Enraged Corrupted Rex,MegaRex_Character_BP_Corrupt_C
Enraged Triceratops,MegaTrike_Character_BP_Corrupt_C
Gacha Claus,Gacha_Claus_Character_BP_C
Gamma King Titan,KingKaiju_Character_BP_C
Mega Mek,MegaMek_Character_BP_C
Deinonychus,Deinonychus_Character_BP_C
Astrocetus,SpaceWhale_Character_BP_C
Megachelon,GiantTurtle_Character_BP_C
Magmasaur,Cherufe_Character_BP_C
Bloodstalker,BogSpider_Character_BP_C
Insect Swarm,InsectSwarmChar_BP_C
Microbe Swarm,MicrobeSwarmChar_BP_C
Eel Minion,EelMinion_Character_BP_C
Moeder,EelBoss_Character_BP_C
Ferox (Small),Shapeshifter_Small_Character_BP_C
Ferox (Large),Shapeshifter_Large_Character_BP_C
X-Parasaur,Bog_Para_Character_BP_C
X-Paraceratherium,Bog_Paracer_Character_BP_C
Brute X-Raptor (Hunt),Bog_Raptor_Character_BP_C
X-Spino,Bog_Spino_Character_BP_C
X-Tapejara,Bog_Tapejara_Character_BP_C
X-Sabertooth Salmon,Lunar_Salmon_Character_BP_C
X-Basilosaurus,Ocean_Basilosaurus_Character_BP_C
X-Ichthyosaurus,Ocean_Dolphin_Character_BP_C
X-Dunkleosteus,Ocean_Dunkle_Character_BP_C
X-Megalodon,Ocean_Megalodon_Character_BP_C
X-Mosasaurus,Ocean_Mosa_Character_BP_C
X-Argentavis,Snow_Argent_Character_BP_C
X-Otter,Snow_Otter_Character_BP_C
X-Woolly Rhino,Snow_Rhino_Character_BP_C
X-Sabertooth,Snow_Saber_Character_BP_C
X-Yutyrannus,Snow_Yutyrannus_Character_BP_C
Hover Skiff,TekHoverSkiff_Character_BP_C
X-Dragon,Volcanic_Dragon_Character_BP_C
X-Allosaurus,Volcano_Allo_Character_BP_C
X-Ankylosaurus,Volcano_Ankylo_Character_BP_C
X-Rock Elemental,Volcano_Golem_Character_BP_C
X-Rex,Volcano_Rex_Character_BP_C
X-Triceratops,Volcano_Trike_Character_BP_C
Drone,EndDrone_Lunar_Character_BP_C
Drone Tank,EndTank_Lunar_Character_BP_C
Lunar Reaper King,Xenomorph_Character_BP_Male_Lunar_C
Virtual Daeodon,VRDaeodon_Character_BP_C
Virtual Drone,VREndDrone_Character_BP_C
Virtual Giganotosaurus,VRGigant_Character_BP_C
Virtual Raptor,VRRaptor_Character_BP_C
Virtual Reaper King,VRXenomorph_Character_BP_Male_Minion_C
Virtual Rex,VRRex_Character_BP_C
Virtual Triceratops,VRTrike_Character_BP_C
Virtual Yutyrannus,VRYutyrannus_Character_BP_C
Rare X-Sabertooth Salmon,Rare_Lunar_Salmon_Character_BP_C
Crystal Wyvern Queen,CrystalWyvern_Character_BP_Boss_C
Gamma Crystal Wyvern Queen,CrystalWyvern_Character_BP_Boss_Easy_C
Alpha Crystal Wyvern Queen,CrystalWyvern_Character_BP_Boss_Hard_C
Beta Crystal Wyvern Queen,CrystalWyvern_Character_BP_Boss_Medium_C
Crystal Wyvern Minion,CrystalWyvern_Character_BP_Minion_C
Crystal Wyvern Minion (Blood),CrystalWyvern_Character_BP_Minion_Blood_C
Crystal Wyvern Minion (Ember),CrystalWyvern_Character_BP_Minion_Ember_C
Crystal Wyvern Minion (Tropical),CrystalWyvern_Character_BP_Minion_WS_C
Crystal Wyvern,CrystalWyvern_Character_BP_Base_C
Crystal Wyvern (Blood),CrystalWyvern_Character_BP_Blood_C
Crystal Wyvern (Ember),CrystalWyvern_Character_BP_Ember_C
Alpha Blood Crystal Wyvern,CrystalWyvern_Character_BP_Mega_C
Crystal Wyvern (Tropical),CrystalWyvern_Character_BP_WS_C
Giant Worker Bee,HoneyBee_Character_BP_C
Tropeognathus,Tropeognathus_Character_BP_C
Cave Alpha Mosasaur,Mosa_Character_BP_Mega_Cave_C
Alpha Araneo Boss Minion,SpiderS_Character_BP_Aggressive_Hard_C
Beta Araneo Boss Minion,SpiderS_Character_BP_Aggressive_Med_C
Gamma Araneo Boss Minion (Gauntlet),SpiderS_Character_BP_Aggressive_C
Basilisk Ghost,Ghost_Basilisk_Character_BP_C
Alpha Broodmother Lysrix,SpiderL_Character_BP_Hard_C
Alpha Broodmother Lysrix (The Center),SpiderL_Character_BP_TheCenterHard_C
Beta Broodmother Lysrix,SpiderL_Character_BP_Medium_C
Beta Broodmother Lysrix (The Center),SpiderL_Character_BP_TheCenterMedium_C
Gamma Broodmother Lysrix,SpiderL_Character_BP_Easy_C
Gamma Broodmother Lysrix (The Center),SpiderL_Character_BP_TheCenter_C
Broodmother Lysrix (Valguero),SpiderL_VAL_Character_BP_C
Bulbdog Ghost,Ghost_LanternPug_Character_BP_C
Chalk Golem,ChalkGolem_Character_BP_C
Deep Sea Coelacanth,Coel_Character_BP_Ocean_C
Corrupt Arthropluera Boss Minion,Corrupt_Arthro_Character_BP_C
Corrupted Deathworm,Deathworm_Character_BP_Corrupt_C
Deathworm Boss Minion,Deathworm_Character_Minion_BP_C
Alpha Dimorphodon Boss Minion,Dimorph_Character_BP_Aggressive_DragonBoss_Hard_C
Beta Dimorphodon Boss Minion,Dimorph_Character_BP_Aggressive_DragonBoss_Med_C
Gamma Dimorphodon Boss Minion,Dimorph_Character_BP_Aggressive_DragonBoss_C
Spirit Direbear,Direbear_LL_Character_BP_C
Spirit Direwolf,Direwolf_LL_Character_BP_C
Direwolf Ghost,Ghost_Direwolf_Character_BP_C
DodoRex (Alt),DodoRex_Character_BP_FearEvolved_C
Alpha Dragon,Dragon_Character_BP_Boss_Hard_C
Alpha Dragon (Ragnarok),Dragon_Character_BP_Boss_Hard_Ragnarok_C
Beta Dragon,Dragon_Character_BP_Boss_Medium_C
Beta Dragon (Ragnarok),Dragon_Character_BP_Boss_Medium_Ragnarok_C
Gamma Dragon,Dragon_Character_BP_Boss_Easy_C
Gamma Dragon (Ragnarok),Dragon_Character_BP_Boss_Easy_Ragnarok_C
Elemental Reaper King,Xenomorph_Character_BP_Male_Minion_C
Alpha Attack Drone,EndDrone_Character_BP_Hard_C
Beta Attack Drone,EndDrone_Character_BP_Med_C
Gamma Attack Drone,EndDrone_Character_BP_C
Alpha Defense Unit,EndTank_Character_BP_Hard_C
Beta Defense Unit,EndTank_Character_BP_Med_C
Gamma Defense Unit,EndTank_Character_BP_C
Fire Wyvern (Ragnarok),Ragnarok_Wyvern_Override_C
Giant Queen Bee,Bee_Queen_Character_BP_C
Tek Cave Giganotosaurus,Gigant_Character_BP_TekCave_C
Alpha Gigantopithecus Boss Minion,Bigfoot_Character_BP_Aggressive_Hard_C
Beta Gigantopithecus Boss Minion,Bigfoot_Character_BP_Aggressive_Med_C
Gamma Gigantopithecus Boss Minion (Gauntlet),Bigfoot_Character_BP_Aggressive_C
Griffin Boss Minion,Griffin_Character_Minion_BP_C
Ice Golem (Valguero),IceGolem_Character_BP_C
Iceworm Queen,Iceworm_Queen_Character_BP_C
Iceworm Male,Iceworm_Character_Minion_BP_smaller_C
Lava Elemental,LavaGolem_Character_BP_C
Alpha Manticore,Manticore_Character_BP_Hard_C
Alpha Manticore (Ragnarok),Manticore_Character_BP_Hard_Ragnarok_C
Beta Manticore,Manticore_Character_BP_Medium_C
Beta Manticore (Ragnarok),Manticore_Character_BP_Medium_Ragnarok_C
Gamma Manticore,Manticore_Character_BP_Easy_C
Gamma Manticore (Ragnarok),Manticore_Character_BP_Easy_Ragnarok_C
Mantis Ghost,Ghost_Mantis_Character_BP_C
Megaloceros (Lifes Labyrinth),Stag_LL_Character_BP_C
Tek Cave Megalosaurus,Megalosaurus_Character_BP_TekCave_C
Alpha Megapithecus,Gorilla_Character_BP_Hard_C
Alpha Megapithecus (The Center),Gorilla_Character_BP_TheCenter_Hard_C
Beta Megapithecus,Gorilla_Character_BP_Medium_C
Beta Megapithecus (The Center),Gorilla_Character_BP_TheCenter_Medium_C
Gamma Megapithecus,Gorilla_Character_BP_Easy_C
Gamma Megapithecus (The Center),Gorilla_Character_BP_TheCenter_C
Alpha Mesopithecus Boss Minion,Monkey_Character_BP_Aggressive_Hard_C
Beta Mesopithecus Boss Minion,Monkey_Character_BP_Aggressive_Med_C
Gamma Mesopithecus Boss Minion (Gauntlet),Monkey_Character_BP_Aggressive_C
Cave Mosasaurus,Mosa_Character_BP_Cave_C
Chupacabra Minion,ChupaCabra_Character_BP_Minion_C
Surface Chupacabra,ChupaCabra_Character_BP_Surface_C
Party Dodo,Dodo_Character_BP_Birthday_C
Polar Bear,Direbear_Character_Polar_C
Polar Bear (Ragnarok),Polar_Bear_C
Alpha Pteranodon Boss Minion,Ptero_Minion_Character_Hard_C
Beta Pteranodon Boss Minion,Ptero_Minion_Character_Med_C
Gamma Pteranodon Boss Minion,Ptero_Minion_Character_BP_C
Polar Purlovia,Purlovia_Character_BP_Polar_C
Rex Ghost,Ghost_Rex_Character_BP_C
Rock Golem Boss Minion,RockGolem_Character_Minion_BP_C
Surface Seeker,Pteroteuthis_Char_BP_Surface_C
Skeletal Carnotaurus,Bone_MegaCarno_Character_BP_C
Skeletal Stego,Bone_Stego_Character_BP_C
Skeletal Trike,Bone_Trike_Character_BP_C
Snow Owl Ghost,Ghost_Owl_Character_BP_C
Subterranean Reaper King,Xenomorph_Character_BP_Male_Chupa_C
Surface Reaper King,Xenomorph_Character_BP_Male_Surface_C
Surface Reaper King Ghost,Ghost_Xenomorph_Character_BP_Male_Surface_C
Tek Giganotosaurus,BionicGigant_Character_BP_C
Tek Triceratops,BionicTrike_Character_BP_C
Cave Tusoteuthis,Tusoteuthis_Character_BP_Caves_C
Valentine's Aberrant Coelacanth,Coel_Character_BP_VDay_Aberrant_C
Valentine's Coelacanth,Coel_Character_BP_VDay_C
Deep Sea Valentine's Coelacanth,Coel_Character_BP_VDay_Ocean_C
Amargasaurus,Amargasaurus_Character_BP_C
Dinopithecus,Dinopithecus_Character_BP_C
Dinopithecus King (Gamma),BossDinopithecus_Character_BP_Easy_C
Dinopithecus King (Beta),BossDinopithecus_Character_BP_Medium_C
Dinopithecus King (Alpha),BossDinopithecus_Character_BP_Hard_C
Sinomacrops,Sinomacrops_Character_BP_C
Amargasaurus Minion,Amargasaurus_Character_BP_Minion_C
Andrewsarchus,Andrewsarchus_Character_BP_C
Any Insect,Insect_Character_Base_C
Any Titanomyrma,Ant_Character_Base_C
Beyla,Beyla_Character_BP_C
Beyla Minion,BeylaMinion_Character_BP_C
Broodmother Lysrix Alpha (Fjordur),SpiderL_Character_BP_Hard_FJ_C
Broodmother Lysrix Beta (Fjordur),SpiderL_Character_BP_Medium_FJ_C
Broodmother Lysrix Gamma (Fjordur),SpiderL_Character_BP_Easy_FJ_C
Carcharodontosaurus,Carcha_Character_BP_C
Corrupted Avatar,Bot_Character_BP_C
"Corrupted Avatar, With Bow",Bot_WithBow_BP_C
"Corrupted Avatar, With Spear",Bot_WithSpear_BP_C
"Corrupted Avatar, With Tek Grenades",Bot_WithTekGrenades_BP_C
"Corrupted Avatar, With Tek Rifle",Bot_WithTekRifle_BP_C
Corrupted Master Controller (Alpha),VRMainBoss_Character_Hard_C
Corrupted Master Controller (Beta),VRMainBoss_Character_Medium_C
Corrupted Master Controller (Gamma),VRMainBoss_Character_Easy_C
Corrupted Survivor,RockwellSpawn_Character_BP_C
Corrupted Survivor (Alpha),RockwellSpawn_Character_BP_Alpha_C
"Corrupted Survivor (Alt, Alpha)",RockwellSpawn_Character_BP_AltAnim_Alpha_C
"Corrupted Survivor (Alt, Beta)",RockwellSpawn_Character_BP_AltAnim_Beta_C
"Corrupted Survivor (Alt, Gamma)",RockwellSpawn_Character_BP_AltAnim_Gamma_C
Corrupted Survivor (Beta),RockwellSpawn_Character_BP_Beta_C
Corrupted Survivor (Gamma),RockwellSpawn_Character_BP_Gamma_C
"Corrupted Survivor, Alt",RockwellSpawn_Character_BP_AltAnim_C
"Corrupted Survivor, With Tek Rifle",CorruptHuman_WithTekRifle_Character_BP_C
Desmodus,Desmodus_Character_BP_C
Dinopithecus (Minion),Dinopithecus_Character_BP_Minion_C
Dire Polar Bear,Polar_Bear_C
DodoRex (Turkey Trials),DodoRex_Character_BP_TurkeyTrials_C
Dragon Alpha (Fjordur),Dragon_Character_BP_Boss_Hard_FJ_C
Dragon Alpha (Valguero),Dragon_Character_BP_Boss_Hard_C
Dragon Beta (Fjordur),Dragon_Character_BP_Boss_Medium_FJ_C
Dragon Beta (Valguero),Dragon_Character_BP_Boss_Medium_C
